ID,name,url,tactics
T1548,Abuse Elevation Control Mechanism,https://attack.mitre.org/techniques/T1548,"Defense Evasion, Privilege Escalation"
T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,https://attack.mitre.org/techniques/T1548/002,"Defense Evasion, Privilege Escalation"
T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,https://attack.mitre.org/techniques/T1548/004,"Defense Evasion, Privilege Escalation"
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,https://attack.mitre.org/techniques/T1548/001,"Defense Evasion, Privilege Escalation"
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,https://attack.mitre.org/techniques/T1548/003,"Defense Evasion, Privilege Escalation"
T1548.006,Abuse Elevation Control Mechanism: TCC Manipulation,https://attack.mitre.org/techniques/T1548/006,"Defense Evasion, Privilege Escalation"
T1548.005,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,https://attack.mitre.org/techniques/T1548/005,"Defense Evasion, Privilege Escalation"
T1134,Access Token Manipulation,https://attack.mitre.org/techniques/T1134,"Defense Evasion, Privilege Escalation"
T1134.002,Access Token Manipulation: Create Process with Token,https://attack.mitre.org/techniques/T1134/002,"Defense Evasion, Privilege Escalation"
T1134.003,Access Token Manipulation: Make and Impersonate Token,https://attack.mitre.org/techniques/T1134/003,"Defense Evasion, Privilege Escalation"
T1134.004,Access Token Manipulation: Parent PID Spoofing,https://attack.mitre.org/techniques/T1134/004,"Defense Evasion, Privilege Escalation"
T1134.005,Access Token Manipulation: SID-History Injection,https://attack.mitre.org/techniques/T1134/005,"Defense Evasion, Privilege Escalation"
T1134.001,Access Token Manipulation: Token Impersonation/Theft,https://attack.mitre.org/techniques/T1134/001,"Defense Evasion, Privilege Escalation"
T1531,Account Access Removal,https://attack.mitre.org/techniques/T1531,Impact
T1087,Account Discovery,https://attack.mitre.org/techniques/T1087,Discovery
T1087.004,Account Discovery: Cloud Account,https://attack.mitre.org/techniques/T1087/004,Discovery
T1087.002,Account Discovery: Domain Account,https://attack.mitre.org/techniques/T1087/002,Discovery
T1087.003,Account Discovery: Email Account,https://attack.mitre.org/techniques/T1087/003,Discovery
T1087.001,Account Discovery: Local Account,https://attack.mitre.org/techniques/T1087/001,Discovery
T1098,Account Manipulation,https://attack.mitre.org/techniques/T1098,"Persistence, Privilege Escalation"
T1098.001,Account Manipulation: Additional Cloud Credentials,https://attack.mitre.org/techniques/T1098/001,"Persistence, Privilege Escalation"
T1098.003,Account Manipulation: Additional Cloud Roles,https://attack.mitre.org/techniques/T1098/003,"Persistence, Privilege Escalation"
T1098.006,Account Manipulation: Additional Container Cluster Roles,https://attack.mitre.org/techniques/T1098/006,"Persistence, Privilege Escalation"
T1098.002,Account Manipulation: Additional Email Delegate Permissions,https://attack.mitre.org/techniques/T1098/002,"Persistence, Privilege Escalation"
T1098.005,Account Manipulation: Device Registration,https://attack.mitre.org/techniques/T1098/005,"Persistence, Privilege Escalation"
T1098.004,Account Manipulation: SSH Authorized Keys,https://attack.mitre.org/techniques/T1098/004,"Persistence, Privilege Escalation"
T1650,Acquire Access,https://attack.mitre.org/techniques/T1650,Resource Development
T1583,Acquire Infrastructure,https://attack.mitre.org/techniques/T1583,Resource Development
T1583.005,Acquire Infrastructure: Botnet,https://attack.mitre.org/techniques/T1583/005,Resource Development
T1583.002,Acquire Infrastructure: DNS Server,https://attack.mitre.org/techniques/T1583/002,Resource Development
T1583.001,Acquire Infrastructure: Domains,https://attack.mitre.org/techniques/T1583/001,Resource Development
T1583.008,Acquire Infrastructure: Malvertising,https://attack.mitre.org/techniques/T1583/008,Resource Development
T1583.004,Acquire Infrastructure: Server,https://attack.mitre.org/techniques/T1583/004,Resource Development
T1583.007,Acquire Infrastructure: Serverless,https://attack.mitre.org/techniques/T1583/007,Resource Development
T1583.003,Acquire Infrastructure: Virtual Private Server,https://attack.mitre.org/techniques/T1583/003,Resource Development
T1583.006,Acquire Infrastructure: Web Services,https://attack.mitre.org/techniques/T1583/006,Resource Development
T1595,Active Scanning,https://attack.mitre.org/techniques/T1595,Reconnaissance
T1595.001,Active Scanning: Scanning IP Blocks,https://attack.mitre.org/techniques/T1595/001,Reconnaissance
T1595.002,Active Scanning: Vulnerability Scanning,https://attack.mitre.org/techniques/T1595/002,Reconnaissance
T1595.003,Active Scanning: Wordlist Scanning,https://attack.mitre.org/techniques/T1595/003,Reconnaissance
T1557,Adversary-in-the-Middle,https://attack.mitre.org/techniques/T1557,"Collection, Credential Access"
T1557.002,Adversary-in-the-Middle: ARP Cache Poisoning,https://attack.mitre.org/techniques/T1557/002,"Collection, Credential Access"
T1557.003,Adversary-in-the-Middle: DHCP Spoofing,https://attack.mitre.org/techniques/T1557/003,"Collection, Credential Access"
T1557.001,Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay,https://attack.mitre.org/techniques/T1557/001,"Collection, Credential Access"
T1071,Application Layer Protocol,https://attack.mitre.org/techniques/T1071,Command and Control
T1071.004,Application Layer Protocol: DNS,https://attack.mitre.org/techniques/T1071/004,Command and Control
T1071.002,Application Layer Protocol: File Transfer Protocols,https://attack.mitre.org/techniques/T1071/002,Command and Control
T1071.003,Application Layer Protocol: Mail Protocols,https://attack.mitre.org/techniques/T1071/003,Command and Control
T1071.001,Application Layer Protocol: Web Protocols,https://attack.mitre.org/techniques/T1071/001,Command and Control
T1010,Application Window Discovery,https://attack.mitre.org/techniques/T1010,Discovery
T1560,Archive Collected Data,https://attack.mitre.org/techniques/T1560,Collection
T1560.003,Archive Collected Data: Archive via Custom Method,https://attack.mitre.org/techniques/T1560/003,Collection
T1560.002,Archive Collected Data: Archive via Library,https://attack.mitre.org/techniques/T1560/002,Collection
T1560.001,Archive Collected Data: Archive via Utility,https://attack.mitre.org/techniques/T1560/001,Collection
T1123,Audio Capture,https://attack.mitre.org/techniques/T1123,Collection
T1119,Automated Collection,https://attack.mitre.org/techniques/T1119,Collection
T1020,Automated Exfiltration,https://attack.mitre.org/techniques/T1020,Exfiltration
T1020.001,Automated Exfiltration: Traffic Duplication,https://attack.mitre.org/techniques/T1020/001,Exfiltration
T1197,BITS Jobs,https://attack.mitre.org/techniques/T1197,"Defense Evasion, Persistence"
T1547,Boot or Logon Autostart Execution,https://attack.mitre.org/techniques/T1547,"Persistence, Privilege Escalation"
T1547.014,Boot or Logon Autostart Execution: Active Setup,https://attack.mitre.org/techniques/T1547/014,"Persistence, Privilege Escalation"
T1547.002,Boot or Logon Autostart Execution: Authentication Package,https://attack.mitre.org/techniques/T1547/002,"Persistence, Privilege Escalation"
T1547.006,Boot or Logon Autostart Execution: Kernel Modules and Extensions,https://attack.mitre.org/techniques/T1547/006,"Persistence, Privilege Escalation"
T1547.008,Boot or Logon Autostart Execution: LSASS Driver,https://attack.mitre.org/techniques/T1547/008,"Persistence, Privilege Escalation"
T1547.015,Boot or Logon Autostart Execution: Login Items,https://attack.mitre.org/techniques/T1547/015,"Persistence, Privilege Escalation"
T1547.010,Boot or Logon Autostart Execution: Port Monitors,https://attack.mitre.org/techniques/T1547/010,"Persistence, Privilege Escalation"
T1547.012,Boot or Logon Autostart Execution: Print Processors,https://attack.mitre.org/techniques/T1547/012,"Persistence, Privilege Escalation"
T1547.007,Boot or Logon Autostart Execution: Re-opened Applications,https://attack.mitre.org/techniques/T1547/007,"Persistence, Privilege Escalation"
T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,https://attack.mitre.org/techniques/T1547/001,"Persistence, Privilege Escalation"
T1547.005,Boot or Logon Autostart Execution: Security Support Provider,https://attack.mitre.org/techniques/T1547/005,"Persistence, Privilege Escalation"
T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,https://attack.mitre.org/techniques/T1547/009,"Persistence, Privilege Escalation"
T1547.003,Boot or Logon Autostart Execution: Time Providers,https://attack.mitre.org/techniques/T1547/003,"Persistence, Privilege Escalation"
T1547.004,Boot or Logon Autostart Execution: Winlogon Helper DLL,https://attack.mitre.org/techniques/T1547/004,"Persistence, Privilege Escalation"
T1547.013,Boot or Logon Autostart Execution: XDG Autostart Entries,https://attack.mitre.org/techniques/T1547/013,"Persistence, Privilege Escalation"
T1037,Boot or Logon Initialization Scripts,https://attack.mitre.org/techniques/T1037,"Persistence, Privilege Escalation"
T1037.002,Boot or Logon Initialization Scripts: Login Hook,https://attack.mitre.org/techniques/T1037/002,"Persistence, Privilege Escalation"
T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),https://attack.mitre.org/techniques/T1037/001,"Persistence, Privilege Escalation"
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,https://attack.mitre.org/techniques/T1037/003,"Persistence, Privilege Escalation"
T1037.004,Boot or Logon Initialization Scripts: RC Scripts,https://attack.mitre.org/techniques/T1037/004,"Persistence, Privilege Escalation"
T1037.005,Boot or Logon Initialization Scripts: Startup Items,https://attack.mitre.org/techniques/T1037/005,"Persistence, Privilege Escalation"
T1176,Browser Extensions,https://attack.mitre.org/techniques/T1176,Persistence
T1217,Browser Information Discovery,https://attack.mitre.org/techniques/T1217,Discovery
T1185,Browser Session Hijacking,https://attack.mitre.org/techniques/T1185,Collection
T1110,Brute Force,https://attack.mitre.org/techniques/T1110,Credential Access
T1110.004,Brute Force: Credential Stuffing,https://attack.mitre.org/techniques/T1110/004,Credential Access
T1110.002,Brute Force: Password Cracking,https://attack.mitre.org/techniques/T1110/002,Credential Access
T1110.001,Brute Force: Password Guessing,https://attack.mitre.org/techniques/T1110/001,Credential Access
T1110.003,Brute Force: Password Spraying,https://attack.mitre.org/techniques/T1110/003,Credential Access
T1612,Build Image on Host,https://attack.mitre.org/techniques/T1612,Defense Evasion
T1115,Clipboard Data,https://attack.mitre.org/techniques/T1115,Collection
T1651,Cloud Administration Command,https://attack.mitre.org/techniques/T1651,Execution
T1580,Cloud Infrastructure Discovery,https://attack.mitre.org/techniques/T1580,Discovery
T1538,Cloud Service Dashboard,https://attack.mitre.org/techniques/T1538,Discovery
T1526,Cloud Service Discovery,https://attack.mitre.org/techniques/T1526,Discovery
T1619,Cloud Storage Object Discovery,https://attack.mitre.org/techniques/T1619,Discovery
T1059,Command and Scripting Interpreter,https://attack.mitre.org/techniques/T1059,Execution
T1059.002,Command and Scripting Interpreter: AppleScript,https://attack.mitre.org/techniques/T1059/002,Execution
T1059.010,Command and Scripting Interpreter: AutoHotKey & AutoIT,https://attack.mitre.org/techniques/T1059/010,Execution
T1059.009,Command and Scripting Interpreter: Cloud API,https://attack.mitre.org/techniques/T1059/009,Execution
T1059.007,Command and Scripting Interpreter: JavaScript,https://attack.mitre.org/techniques/T1059/007,Execution
T1059.008,Command and Scripting Interpreter: Network Device CLI,https://attack.mitre.org/techniques/T1059/008,Execution
T1059.001,Command and Scripting Interpreter: PowerShell,https://attack.mitre.org/techniques/T1059/001,Execution
T1059.006,Command and Scripting Interpreter: Python,https://attack.mitre.org/techniques/T1059/006,Execution
T1059.004,Command and Scripting Interpreter: Unix Shell,https://attack.mitre.org/techniques/T1059/004,Execution
T1059.005,Command and Scripting Interpreter: Visual Basic,https://attack.mitre.org/techniques/T1059/005,Execution
T1059.003,Command and Scripting Interpreter: Windows Command Shell,https://attack.mitre.org/techniques/T1059/003,Execution
T1092,Communication Through Removable Media,https://attack.mitre.org/techniques/T1092,Command and Control
T1586,Compromise Accounts,https://attack.mitre.org/techniques/T1586,Resource Development
T1586.003,Compromise Accounts: Cloud Accounts,https://attack.mitre.org/techniques/T1586/003,Resource Development
T1586.002,Compromise Accounts: Email Accounts,https://attack.mitre.org/techniques/T1586/002,Resource Development
T1586.001,Compromise Accounts: Social Media Accounts,https://attack.mitre.org/techniques/T1586/001,Resource Development
T1554,Compromise Host Software Binary,https://attack.mitre.org/techniques/T1554,Persistence
T1584,Compromise Infrastructure,https://attack.mitre.org/techniques/T1584,Resource Development
T1584.005,Compromise Infrastructure: Botnet,https://attack.mitre.org/techniques/T1584/005,Resource Development
T1584.002,Compromise Infrastructure: DNS Server,https://attack.mitre.org/techniques/T1584/002,Resource Development
T1584.001,Compromise Infrastructure: Domains,https://attack.mitre.org/techniques/T1584/001,Resource Development
T1584.008,Compromise Infrastructure: Network Devices,https://attack.mitre.org/techniques/T1584/008,Resource Development
T1584.004,Compromise Infrastructure: Server,https://attack.mitre.org/techniques/T1584/004,Resource Development
T1584.007,Compromise Infrastructure: Serverless,https://attack.mitre.org/techniques/T1584/007,Resource Development
T1584.003,Compromise Infrastructure: Virtual Private Server,https://attack.mitre.org/techniques/T1584/003,Resource Development
T1584.006,Compromise Infrastructure: Web Services,https://attack.mitre.org/techniques/T1584/006,Resource Development
T1609,Container Administration Command,https://attack.mitre.org/techniques/T1609,Execution
T1613,Container and Resource Discovery,https://attack.mitre.org/techniques/T1613,Discovery
T1659,Content Injection,https://attack.mitre.org/techniques/T1659,"Command and Control, Initial Access"
T1136,Create Account,https://attack.mitre.org/techniques/T1136,Persistence
T1136.003,Create Account: Cloud Account,https://attack.mitre.org/techniques/T1136/003,Persistence
T1136.002,Create Account: Domain Account,https://attack.mitre.org/techniques/T1136/002,Persistence
T1136.001,Create Account: Local Account,https://attack.mitre.org/techniques/T1136/001,Persistence
T1543,Create or Modify System Process,https://attack.mitre.org/techniques/T1543,"Persistence, Privilege Escalation"
T1543.005,Create or Modify System Process: Container Service,https://attack.mitre.org/techniques/T1543/005,"Persistence, Privilege Escalation"
T1543.001,Create or Modify System Process: Launch Agent,https://attack.mitre.org/techniques/T1543/001,"Persistence, Privilege Escalation"
T1543.004,Create or Modify System Process: Launch Daemon,https://attack.mitre.org/techniques/T1543/004,"Persistence, Privilege Escalation"
T1543.002,Create or Modify System Process: Systemd Service,https://attack.mitre.org/techniques/T1543/002,"Persistence, Privilege Escalation"
T1543.003,Create or Modify System Process: Windows Service,https://attack.mitre.org/techniques/T1543/003,"Persistence, Privilege Escalation"
T1555,Credentials from Password Stores,https://attack.mitre.org/techniques/T1555,Credential Access
T1555.006,Credentials from Password Stores: Cloud Secrets Management Stores,https://attack.mitre.org/techniques/T1555/006,Credential Access
T1555.003,Credentials from Password Stores: Credentials from Web Browsers,https://attack.mitre.org/techniques/T1555/003,Credential Access
T1555.001,Credentials from Password Stores: Keychain,https://attack.mitre.org/techniques/T1555/001,Credential Access
T1555.005,Credentials from Password Stores: Password Managers,https://attack.mitre.org/techniques/T1555/005,Credential Access
T1555.002,Credentials from Password Stores: Securityd Memory,https://attack.mitre.org/techniques/T1555/002,Credential Access
T1555.004,Credentials from Password Stores: Windows Credential Manager,https://attack.mitre.org/techniques/T1555/004,Credential Access
T1485,Data Destruction,https://attack.mitre.org/techniques/T1485,Impact
T1132,Data Encoding,https://attack.mitre.org/techniques/T1132,Command and Control
T1132.002,Data Encoding: Non-Standard Encoding,https://attack.mitre.org/techniques/T1132/002,Command and Control
T1132.001,Data Encoding: Standard Encoding,https://attack.mitre.org/techniques/T1132/001,Command and Control
T1486,Data Encrypted for Impact,https://attack.mitre.org/techniques/T1486,Impact
T1565,Data Manipulation,https://attack.mitre.org/techniques/T1565,Impact
T1565.003,Data Manipulation: Runtime Data Manipulation,https://attack.mitre.org/techniques/T1565/003,Impact
T1565.001,Data Manipulation: Stored Data Manipulation,https://attack.mitre.org/techniques/T1565/001,Impact
T1565.002,Data Manipulation: Transmitted Data Manipulation,https://attack.mitre.org/techniques/T1565/002,Impact
T1001,Data Obfuscation,https://attack.mitre.org/techniques/T1001,Command and Control
T1001.001,Data Obfuscation: Junk Data,https://attack.mitre.org/techniques/T1001/001,Command and Control
T1001.003,Data Obfuscation: Protocol Impersonation,https://attack.mitre.org/techniques/T1001/003,Command and Control
T1001.002,Data Obfuscation: Steganography,https://attack.mitre.org/techniques/T1001/002,Command and Control
T1074,Data Staged,https://attack.mitre.org/techniques/T1074,Collection
T1074.001,Data Staged: Local Data Staging,https://attack.mitre.org/techniques/T1074/001,Collection
T1074.002,Data Staged: Remote Data Staging,https://attack.mitre.org/techniques/T1074/002,Collection
T1030,Data Transfer Size Limits,https://attack.mitre.org/techniques/T1030,Exfiltration
T1530,Data from Cloud Storage,https://attack.mitre.org/techniques/T1530,Collection
T1602,Data from Configuration Repository,https://attack.mitre.org/techniques/T1602,Collection
T1602.002,Data from Configuration Repository: Network Device Configuration Dump,https://attack.mitre.org/techniques/T1602/002,Collection
T1602.001,Data from Configuration Repository: SNMP (MIB Dump),https://attack.mitre.org/techniques/T1602/001,Collection
T1213,Data from Information Repositories,https://attack.mitre.org/techniques/T1213,Collection
T1213.003,Data from Information Repositories: Code Repositories,https://attack.mitre.org/techniques/T1213/003,Collection
T1213.001,Data from Information Repositories: Confluence,https://attack.mitre.org/techniques/T1213/001,Collection
T1213.002,Data from Information Repositories: Sharepoint,https://attack.mitre.org/techniques/T1213/002,Collection
T1005,Data from Local System,https://attack.mitre.org/techniques/T1005,Collection
T1039,Data from Network Shared Drive,https://attack.mitre.org/techniques/T1039,Collection
T1025,Data from Removable Media,https://attack.mitre.org/techniques/T1025,Collection
T1622,Debugger Evasion,https://attack.mitre.org/techniques/T1622,"Defense Evasion, Discovery"
T1491,Defacement,https://attack.mitre.org/techniques/T1491,Impact
T1491.002,Defacement: External Defacement,https://attack.mitre.org/techniques/T1491/002,Impact
T1491.001,Defacement: Internal Defacement,https://attack.mitre.org/techniques/T1491/001,Impact
T1140,Deobfuscate/Decode Files or Information,https://attack.mitre.org/techniques/T1140,Defense Evasion
T1610,Deploy Container,https://attack.mitre.org/techniques/T1610,"Defense Evasion, Execution"
T1587,Develop Capabilities,https://attack.mitre.org/techniques/T1587,Resource Development
T1587.002,Develop Capabilities: Code Signing Certificates,https://attack.mitre.org/techniques/T1587/002,Resource Development
T1587.003,Develop Capabilities: Digital Certificates,https://attack.mitre.org/techniques/T1587/003,Resource Development
T1587.004,Develop Capabilities: Exploits,https://attack.mitre.org/techniques/T1587/004,Resource Development
T1587.001,Develop Capabilities: Malware,https://attack.mitre.org/techniques/T1587/001,Resource Development
T1652,Device Driver Discovery,https://attack.mitre.org/techniques/T1652,Discovery
T1006,Direct Volume Access,https://attack.mitre.org/techniques/T1006,Defense Evasion
T1561,Disk Wipe,https://attack.mitre.org/techniques/T1561,Impact
T1561.001,Disk Wipe: Disk Content Wipe,https://attack.mitre.org/techniques/T1561/001,Impact
T1561.002,Disk Wipe: Disk Structure Wipe,https://attack.mitre.org/techniques/T1561/002,Impact
T1482,Domain Trust Discovery,https://attack.mitre.org/techniques/T1482,Discovery
T1484,Domain or Tenant Policy Modification,https://attack.mitre.org/techniques/T1484,"Defense Evasion, Privilege Escalation"
T1484.001,Domain or Tenant Policy Modification: Group Policy Modification,https://attack.mitre.org/techniques/T1484/001,"Defense Evasion, Privilege Escalation"
T1484.002,Domain or Tenant Policy Modification: Trust Modification,https://attack.mitre.org/techniques/T1484/002,"Defense Evasion, Privilege Escalation"
T1189,Drive-by Compromise,https://attack.mitre.org/techniques/T1189,Initial Access
T1568,Dynamic Resolution,https://attack.mitre.org/techniques/T1568,Command and Control
T1568.003,Dynamic Resolution: DNS Calculation,https://attack.mitre.org/techniques/T1568/003,Command and Control
T1568.002,Dynamic Resolution: Domain Generation Algorithms,https://attack.mitre.org/techniques/T1568/002,Command and Control
T1568.001,Dynamic Resolution: Fast Flux DNS,https://attack.mitre.org/techniques/T1568/001,Command and Control
T1114,Email Collection,https://attack.mitre.org/techniques/T1114,Collection
T1114.003,Email Collection: Email Forwarding Rule,https://attack.mitre.org/techniques/T1114/003,Collection
T1114.001,Email Collection: Local Email Collection,https://attack.mitre.org/techniques/T1114/001,Collection
T1114.002,Email Collection: Remote Email Collection,https://attack.mitre.org/techniques/T1114/002,Collection
T1573,Encrypted Channel,https://attack.mitre.org/techniques/T1573,Command and Control
T1573.002,Encrypted Channel: Asymmetric Cryptography,https://attack.mitre.org/techniques/T1573/002,Command and Control
T1573.001,Encrypted Channel: Symmetric Cryptography,https://attack.mitre.org/techniques/T1573/001,Command and Control
T1499,Endpoint Denial of Service,https://attack.mitre.org/techniques/T1499,Impact
T1499.003,Endpoint Denial of Service: Application Exhaustion Flood,https://attack.mitre.org/techniques/T1499/003,Impact
T1499.004,Endpoint Denial of Service: Application or System Exploitation,https://attack.mitre.org/techniques/T1499/004,Impact
T1499.001,Endpoint Denial of Service: OS Exhaustion Flood,https://attack.mitre.org/techniques/T1499/001,Impact
T1499.002,Endpoint Denial of Service: Service Exhaustion Flood,https://attack.mitre.org/techniques/T1499/002,Impact
T1611,Escape to Host,https://attack.mitre.org/techniques/T1611,Privilege Escalation
T1585,Establish Accounts,https://attack.mitre.org/techniques/T1585,Resource Development
T1585.003,Establish Accounts: Cloud Accounts,https://attack.mitre.org/techniques/T1585/003,Resource Development
T1585.002,Establish Accounts: Email Accounts,https://attack.mitre.org/techniques/T1585/002,Resource Development
T1585.001,Establish Accounts: Social Media Accounts,https://attack.mitre.org/techniques/T1585/001,Resource Development
T1546,Event Triggered Execution,https://attack.mitre.org/techniques/T1546,"Persistence, Privilege Escalation"
T1546.008,Event Triggered Execution: Accessibility Features,https://attack.mitre.org/techniques/T1546/008,"Persistence, Privilege Escalation"
